ID,Species,Taxid,RefID
SRR15115268.10031374,Delftia_tsuruhatensis,180282,NZ_CP045291.1
SRR15115268.10031374,Delftia_tsuruhatensis,180282,NZ_CP045291.1
SRR15115268.10119350,Acinetobacter_guillouiae,106649,NZ_AP014630.1
SRR15115268.10119350,Acinetobacter_guillouiae,106649,NZ_AP014630.1
SRR15115268.10119350,Acinetobacter_guillouiae,106649,NZ_AP014630.1
SRR15115268.10119350,Acinetobacter_guillouiae,106649,NZ_AP014630.1
SRR15115268.10142813,Cutibacterium_acnes,1747,NZ_CP012352.1
SRR15115268.10142813,Cutibacterium_acnes,1747,NZ_CP012352.1
SRR15115268.10142813,Cutibacterium_acnes,1747,NZ_CP012352.1
SRR15115268.10142813,Cutibacterium_acnes,1747,NZ_CP012352.1
SRR15115268.10331123,Cutibacterium_acnes,1747,NZ_CP012647.1
SRR15115268.10331123,Cutibacterium_acnes,1747,NZ_CP012647.1
SRR15115268.10331123,Cutibacterium_acnes,1747,NZ_CP012647.1
SRR15115268.10331123,Cutibacterium_acnes,1747,NZ_CP012647.1
SRR15115268.1035742,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115268.10503594,Acinetobacter_guillouiae,106649,NZ_AP014630.1
SRR15115268.10503594,Acinetobacter_guillouiae,106649,NZ_AP014630.1
SRR15115268.10623198,Cutibacterium_acnes,1747,NZ_AP019664.1
SRR15115268.10732046,Cutibacterium_acnes,1747,NZ_CP012352.1
SRR15115268.10732046,Cutibacterium_acnes,1747,NZ_CP012352.1
SRR15115268.10734493,Brevundimonas_naejangsanensis,588932,NZ_CP015614.1
SRR15115268.10734493,Brevundimonas_naejangsanensis,588932,NZ_CP015614.1
SRR15115268.10734563,Brevundimonas_naejangsanensis,588932,NZ_CP015614.1
SRR15115268.10734563,Brevundimonas_naejangsanensis,588932,NZ_CP015614.1
SRR15115268.10868803,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115268.10873869,Delftia_tsuruhatensis,180282,NZ_CP045291.1
SRR15115268.11027178,Cutibacterium_acnes,1747,NZ_CP012355.1
SRR15115268.11027178,Cutibacterium_acnes,1747,NZ_CP012355.1
SRR15115268.11027178,Cutibacterium_acnes,1747,NZ_CP023676.1
SRR15115268.11027178,Cutibacterium_acnes,1747,NZ_CP023676.1
