ID,Species,Taxid,RefID
SRR15115265.10028572,Cutibacterium_acnes,1747,NZ_CP012647.1
SRR15115265.10028572,Cutibacterium_acnes,1747,NZ_CP012647.1
SRR15115265.10028572,Cutibacterium_acnes,1747,NZ_CP012647.1
SRR15115265.10028572,Cutibacterium_acnes,1747,NZ_CP012647.1
SRR15115265.10033764,Bradyrhizobium_guangzhouense,1325095,NZ_CP030053.1
SRR15115265.10033764,Bradyrhizobium_guangzhouense,1325095,NZ_CP030053.1
SRR15115265.10036461,Halomonas_sp._JS92-SW72,2306583,NZ_CP032147.1
SRR15115265.10055344,Bradyrhizobium_guangzhouense,1325095,NZ_CP030053.1
SRR15115265.10075165,Mycolicibacterium_phocaicum,319706,NZ_AP022616.1
SRR15115265.10075165,Mycolicibacterium_phocaicum,319706,NZ_AP022616.1
SRR15115265.10115119,Sphingomonas_paucimobilis,13689,NZ_CP035765.1
SRR15115265.10115119,Sphingomonas_paucimobilis,13689,NZ_CP035765.1
SRR15115265.10115119,Sphingomonas_paucimobilis,13689,NZ_CP035765.1
SRR15115265.10115119,Sphingomonas_paucimobilis,13689,NZ_CP035765.1
SRR15115265.10133267,Bradyrhizobium_sp._BTAi1,288000,NC_009485.1
SRR15115265.10133267,Bradyrhizobium_sp._BTAi1,288000,NC_009485.1
SRR15115265.10133267,Bradyrhizobium_sp._BTAi1,288000,NC_009485.1
SRR15115265.10133267,Bradyrhizobium_sp._BTAi1,288000,NC_009485.1
SRR15115265.10208374,Mycoplasma_hyorhinis,2100,NZ_CP016817.1
SRR15115265.10314973,Methylomonas_clara,417,NZ_CP033953.1
SRR15115265.10314973,Methylomonas_clara,417,NZ_CP033953.1
SRR15115265.10314973,Methylomonas_clara,417,NZ_CP033953.1
SRR15115265.10314973,Methylomonas_clara,417,NZ_CP033953.1
SRR15115265.1033180,Delftia_tsuruhatensis,180282,NZ_CP045291.1
SRR15115265.1033180,Delftia_tsuruhatensis,180282,NZ_CP045291.1
SRR15115265.1033180,Delftia_tsuruhatensis,180282,NZ_CP045291.1
SRR15115265.1033180,Delftia_tsuruhatensis,180282,NZ_CP045291.1
SRR15115265.10380878,Sphingomonas_melonis,152682,NZ_CP023705.1
SRR15115265.10380878,Sphingomonas_melonis,152682,NZ_CP023705.1
SRR15115265.10384657,Cutibacterium_acnes,1747,NZ_CP031442.1
SRR15115265.10384657,Cutibacterium_acnes,1747,NZ_CP031442.1
SRR15115265.10389336,Sphingobium_hydrophobicum,1673076,NZ_CP022745.1
SRR15115265.10389336,Sphingobium_hydrophobicum,1673076,NZ_CP022745.1
SRR15115265.10403201,Cutibacterium_acnes,1747,NZ_AP022845.1
SRR15115265.10403201,Cutibacterium_acnes,1747,NZ_AP022845.1
SRR15115265.10403201,Cutibacterium_acnes,1747,NZ_AP022845.1
SRR15115265.10403201,Cutibacterium_acnes,1747,NZ_AP022845.1
SRR15115265.10413940,Pseudomonas_putida,303,NZ_AP015029.1
SRR15115265.10413940,Pseudomonas_putida,303,NZ_AP015029.1
SRR15115265.10413940,Pseudomonas_putida,303,NZ_AP015029.1
SRR15115265.10413940,Pseudomonas_putida,303,NZ_AP015029.1
SRR15115265.10432177,Delftia_tsuruhatensis,180282,NZ_CP045291.1
SRR15115265.10432177,Delftia_tsuruhatensis,180282,NZ_CP045291.1
SRR15115265.10432177,Delftia_tsuruhatensis,180282,NZ_CP045291.1
SRR15115265.10432177,Delftia_tsuruhatensis,180282,NZ_CP045291.1
SRR15115265.10532721,Methylomonas_clara,417,NZ_CP033953.1
SRR15115265.10532721,Methylomonas_clara,417,NZ_CP033953.1
SRR15115265.10547954,Mycoplasma_hyorhinis,2100,NZ_CP016817.1
SRR15115265.10547954,Mycoplasma_hyorhinis,2100,NZ_CP016817.1
SRR15115265.10580205,Rhodococcus_sp._PBTS_2,1653479,NZ_CP015220.1
SRR15115265.10580205,Rhodococcus_sp._PBTS_2,1653479,NZ_CP015220.1
SRR15115265.10580205,Rhodococcus_sp._PBTS_2,1653479,NZ_CP015220.1
SRR15115265.10580205,Rhodococcus_sp._PBTS_2,1653479,NZ_CP015220.1
SRR15115265.10582984,Rhodococcus_sp._PBTS_2,1653479,NZ_CP015220.1
SRR15115265.10582984,Rhodococcus_sp._PBTS_2,1653479,NZ_CP015220.1
SRR15115265.10592211,Sphingomonas_sp._LK11,1390395,NZ_CP013916.1
SRR15115265.10592211,Sphingomonas_sp._LK11,1390395,NZ_CP013916.1
SRR15115265.10592211,Sphingomonas_sp._LK11,1390395,NZ_CP013916.1
SRR15115265.10592211,Sphingomonas_sp._LK11,1390395,NZ_CP013916.1
SRR15115265.10597002,Methylobacterium_brachiatum,269660,NZ_CP033231.1
SRR15115265.10597002,Methylobacterium_brachiatum,269660,NZ_CP033231.1
SRR15115265.10599731,Halomonas_sp._JS92-SW72,2306583,NZ_CP032147.1
SRR15115265.10599731,Halomonas_sp._JS92-SW72,2306583,NZ_CP032147.1
SRR15115265.10614881,Moraxella_osloensis,34062,NZ_CP024443.1
SRR15115265.10614881,Moraxella_osloensis,34062,NZ_CP024443.1
SRR15115265.10614881,Moraxella_osloensis,34062,NZ_CP024443.1
SRR15115265.10614881,Moraxella_osloensis,34062,NZ_CP024443.1
SRR15115265.10646672,Halomonas_sp._JS92-SW72,2306583,NZ_CP032147.1
SRR15115265.10646672,Halomonas_sp._JS92-SW72,2306583,NZ_CP032147.1
SRR15115265.10714769,Rhodoferax_koreense,1842727,NZ_CP019236.1
SRR15115265.10714769,Rhodoferax_koreense,1842727,NZ_CP019236.1
SRR15115265.10775682,Ralstonia_insidiosa,190721,NZ_CP016022.1
SRR15115265.10775682,Ralstonia_insidiosa,190721,NZ_CP016022.1
SRR15115265.10775682,Ralstonia_insidiosa,190721,NZ_CP016022.1
SRR15115265.10775682,Ralstonia_insidiosa,190721,NZ_CP016022.1
SRR15115265.10801014,Pseudomonas_putida,303,NZ_LT707061.1
SRR15115265.10801014,Pseudomonas_putida,303,NZ_LT707061.1
SRR15115265.10814109,Halomonas_sp._JS92-SW72,2306583,NZ_CP032147.1
SRR15115265.10814109,Halomonas_sp._JS92-SW72,2306583,NZ_CP032147.1
SRR15115265.10844284,Bradyrhizobium_guangzhouense,1325095,NZ_CP030053.1
SRR15115265.10844284,Bradyrhizobium_guangzhouense,1325095,NZ_CP030053.1
SRR15115265.10868632,Sphingobium_hydrophobicum,1673076,NZ_CP022746.1
SRR15115265.10868632,Sphingobium_hydrophobicum,1673076,NZ_CP022746.1
SRR15115265.10879407,Stenotrophomonas_maltophilia,40324,NZ_CP025298.1
SRR15115265.10879407,Stenotrophomonas_maltophilia,40324,NZ_CP025298.1
SRR15115265.10879407,Stenotrophomonas_maltophilia,40324,NZ_CP025298.1
SRR15115265.10879407,Stenotrophomonas_maltophilia,40324,NZ_CP025298.1
SRR15115265.11060975,Sphingomonas_paucimobilis,13689,NZ_CP035765.1
SRR15115265.11060975,Sphingomonas_paucimobilis,13689,NZ_CP035765.1
