ID,Species,Taxid,RefID
SRR15115266.10004941,Acinetobacter_guillouiae,106649,NZ_AP014630.1
SRR15115266.10004941,Acinetobacter_guillouiae,106649,NZ_AP014630.1
SRR15115266.10012232,Clostridium_botulinum,1491,NZ_CP027778.1
SRR15115266.10035828,Acinetobacter_guillouiae,106649,NZ_AP014630.1
SRR15115266.10037519,Moraxella_osloensis,34062,NZ_CP040257.1
SRR15115266.10037519,Moraxella_osloensis,34062,NZ_CP040257.1
SRR15115266.10037519,Moraxella_osloensis,34062,NZ_CP040257.1
SRR15115266.10037519,Moraxella_osloensis,34062,NZ_CP040257.1
SRR15115266.10038292,Moraxella_osloensis,34062,NZ_CP024176.2
SRR15115266.10038292,Moraxella_osloensis,34062,NZ_CP024176.2
SRR15115266.10038292,Moraxella_osloensis,34062,NZ_CP024176.2
SRR15115266.10038292,Moraxella_osloensis,34062,NZ_CP024176.2
SRR15115266.10050461,Micrococcus_luteus,1270,NZ_CP040019.1
SRR15115266.10050461,Micrococcus_luteus,1270,NZ_CP040019.1
SRR15115266.10059216,Sphingomonas_melonis,152682,NZ_CP023705.1
SRR15115266.10059216,Sphingomonas_melonis,152682,NZ_CP023705.1
SRR15115266.10061746,Moraxella_osloensis,34062,NZ_CP047226.1
SRR15115266.10061746,Moraxella_osloensis,34062,NZ_CP047226.1
SRR15115266.10061746,Moraxella_osloensis,34062,NZ_CP047226.1
SRR15115266.10061746,Moraxella_osloensis,34062,NZ_CP047226.1
SRR15115266.10063949,Moraxella_osloensis,34062,NZ_CP014234.1
SRR15115266.10063949,Moraxella_osloensis,34062,NZ_CP014234.1
SRR15115266.10063949,Moraxella_osloensis,34062,NZ_CP014234.1
SRR15115266.10063949,Moraxella_osloensis,34062,NZ_CP014234.1
SRR15115266.10066342,Moraxella_osloensis,34062,NZ_CP014234.1
SRR15115266.10066342,Moraxella_osloensis,34062,NZ_CP014234.1
SRR15115266.10068388,Moraxella_osloensis,34062,NZ_CP014234.1
SRR15115266.10068388,Moraxella_osloensis,34062,NZ_CP014234.1
SRR15115266.10074847,Hydrogenophaga_sp._NH-16,2184519,NZ_CP029344.1
SRR15115266.10091147,Acinetobacter_guillouiae,106649,NZ_AP014630.1
SRR15115266.10091147,Acinetobacter_guillouiae,106649,NZ_AP014630.1
SRR15115266.10091147,Acinetobacter_guillouiae,106649,NZ_AP014630.1
SRR15115266.10091147,Acinetobacter_guillouiae,106649,NZ_AP014630.1
SRR15115266.10124839,Cutibacterium_acnes,1747,NZ_CP013693.1
SRR15115266.10124839,Cutibacterium_acnes,1747,NZ_CP013693.1
SRR15115266.10124839,Cutibacterium_acnes,1747,NZ_CP013693.1
SRR15115266.10124839,Cutibacterium_acnes,1747,NZ_CP013693.1
SRR15115266.10125157,Hydrogenophaga_sp._NH-16,2184519,NZ_CP029344.1
SRR15115266.10125157,Hydrogenophaga_sp._NH-16,2184519,NZ_CP029344.1
SRR15115266.10125157,Hydrogenophaga_sp._NH-16,2184519,NZ_CP029344.1
SRR15115266.10125157,Hydrogenophaga_sp._NH-16,2184519,NZ_CP029344.1
SRR15115266.10127342,Moraxella_osloensis,34062,NZ_CP040257.1
SRR15115266.10127342,Moraxella_osloensis,34062,NZ_CP040257.1
SRR15115266.10127455,Moraxella_osloensis,34062,NZ_CP040257.1
SRR15115266.10127455,Moraxella_osloensis,34062,NZ_CP040257.1
SRR15115266.1012944,Moraxella_osloensis,34062,NZ_CP024185.2
SRR15115266.1012944,Moraxella_osloensis,34062,NZ_CP024185.2
SRR15115266.1012944,Moraxella_osloensis,34062,NZ_CP024185.2
SRR15115266.1012944,Moraxella_osloensis,34062,NZ_CP024185.2
SRR15115266.10130561,Methylomonas_clara,417,NZ_CP033953.1
SRR15115266.10130561,Methylomonas_clara,417,NZ_CP033953.1
SRR15115266.10143126,Moraxella_osloensis,34062,NZ_CP024180.2
SRR15115266.10143126,Moraxella_osloensis,34062,NZ_CP024180.2
SRR15115266.10143126,Moraxella_osloensis,34062,NZ_CP024180.2
SRR15115266.10143126,Moraxella_osloensis,34062,NZ_CP024180.2
SRR15115266.10145272,Moraxella_osloensis,34062,NZ_CP024185.2
SRR15115266.10145272,Moraxella_osloensis,34062,NZ_CP024185.2
SRR15115266.10145272,Moraxella_osloensis,34062,NZ_CP040257.1
SRR15115266.10145272,Moraxella_osloensis,34062,NZ_CP040257.1
SRR15115266.10146729,Flavobacteriaceae_bacterium_MAR_2010_188,1250295,NZ_LT629302.1
SRR15115266.10146729,Flavobacteriaceae_bacterium_MAR_2010_188,1250295,NZ_LT629302.1
SRR15115266.10160141,Brevundimonas_naejangsanensis,588932,NZ_CP015614.1
SRR15115266.10160141,Brevundimonas_naejangsanensis,588932,NZ_CP015614.1
SRR15115266.10169285,Moraxella_osloensis,34062,NZ_CP024180.2
SRR15115266.10169285,Moraxella_osloensis,34062,NZ_CP024180.2
SRR15115266.10187573,Cutibacterium_acnes,1747,NZ_CP033842.1
SRR15115266.10187573,Cutibacterium_acnes,1747,NZ_CP033842.1
SRR15115266.10187573,Cutibacterium_acnes,1747,NZ_CP033842.1
SRR15115266.10187573,Cutibacterium_acnes,1747,NZ_CP033842.1
SRR15115266.10187607,Methylomonas_clara,417,NZ_CP033953.1
SRR15115266.10207532,Methylomonas_clara,417,NZ_CP033953.1
SRR15115266.10207532,Methylomonas_clara,417,NZ_CP033953.1
SRR15115266.10270526,Methylomonas_clara,417,NZ_CP033953.1
SRR15115266.10277214,Sphingomonas_paucimobilis,13689,NZ_CP035765.1
SRR15115266.10277214,Sphingomonas_paucimobilis,13689,NZ_CP035765.1
SRR15115266.10281775,Halomonas_sp._JS92-SW72,2306583,NZ_CP032147.1
SRR15115266.10281775,Halomonas_sp._JS92-SW72,2306583,NZ_CP032147.1
SRR15115266.10310943,Mitsuaria_sp._7,1658665,NZ_CP011514.1
SRR15115266.10310943,Mitsuaria_sp._7,1658665,NZ_CP011514.1
SRR15115266.10310943,Mitsuaria_sp._7,1658665,NZ_CP011514.1
SRR15115266.10310943,Mitsuaria_sp._7,1658665,NZ_CP011514.1
SRR15115266.10311378,Moraxella_osloensis,34062,NZ_CP024180.2
SRR15115266.10311378,Moraxella_osloensis,34062,NZ_CP024180.2
SRR15115266.10311378,Moraxella_osloensis,34062,NZ_CP024180.2
SRR15115266.10311378,Moraxella_osloensis,34062,NZ_CP024180.2
SRR15115266.10311582,Moraxella_osloensis,34062,NZ_CP024180.2
SRR15115266.10311582,Moraxella_osloensis,34062,NZ_CP024180.2
SRR15115266.10339468,Stenotrophomonas_maltophilia,40324,NZ_CP051467.1
SRR15115266.10339468,Stenotrophomonas_maltophilia,40324,NZ_CP051467.1
SRR15115266.10339468,Stenotrophomonas_maltophilia,40324,NZ_CP051467.1
SRR15115266.10339468,Stenotrophomonas_maltophilia,40324,NZ_CP051467.1
SRR15115266.10366658,Acinetobacter_guillouiae,106649,NZ_AP014630.1
SRR15115266.10366658,Acinetobacter_guillouiae,106649,NZ_AP014630.1
SRR15115266.10366658,Acinetobacter_guillouiae,106649,NZ_AP014630.1
SRR15115266.10366658,Acinetobacter_guillouiae,106649,NZ_AP014630.1
SRR15115266.10369026,Moraxella_osloensis,34062,NZ_AP017381.1
SRR15115266.10369026,Moraxella_osloensis,34062,NZ_AP017381.1
SRR15115266.10369026,Moraxella_osloensis,34062,NZ_AP017381.1
SRR15115266.10369026,Moraxella_osloensis,34062,NZ_AP017381.1
SRR15115266.10369432,Moraxella_osloensis,34062,NZ_AP017381.1
SRR15115266.10369432,Moraxella_osloensis,34062,NZ_AP017381.1
SRR15115266.10377671,Delftia_tsuruhatensis,180282,NZ_CP017420.1
SRR15115266.10377671,Delftia_tsuruhatensis,180282,NZ_CP017420.1
SRR15115266.1038245,Moraxella_osloensis,34062,NZ_AP017381.1
SRR15115266.1038245,Moraxella_osloensis,34062,NZ_AP017381.1
SRR15115266.1038245,Moraxella_osloensis,34062,NZ_AP017381.1
SRR15115266.1038245,Moraxella_osloensis,34062,NZ_AP017381.1
SRR15115266.10385132,Acinetobacter_lwoffii,28090,NZ_CP054805.1
SRR15115266.10385132,Acinetobacter_lwoffii,28090,NZ_CP054805.1
SRR15115266.1040454,Cutibacterium_acnes,1747,NZ_CP013693.1
SRR15115266.1040454,Cutibacterium_acnes,1747,NZ_CP013693.1
SRR15115266.1040454,Cutibacterium_acnes,1747,NZ_CP013693.1
SRR15115266.1040454,Cutibacterium_acnes,1747,NZ_CP013693.1
SRR15115266.10410525,Moraxella_osloensis,34062,NZ_CP047226.1
SRR15115266.10410525,Moraxella_osloensis,34062,NZ_CP047226.1
SRR15115266.10410525,Moraxella_osloensis,34062,NZ_CP047226.1
SRR15115266.10410525,Moraxella_osloensis,34062,NZ_CP047226.1
SRR15115266.10417131,Rhodococcus_sp._PBTS_2,1653479,NZ_CP015220.1
SRR15115266.10417131,Rhodococcus_sp._PBTS_2,1653479,NZ_CP015220.1
SRR15115266.10441431,Moraxella_osloensis,34062,NZ_CP024443.1
SRR15115266.10441431,Moraxella_osloensis,34062,NZ_CP024443.1
SRR15115266.10441431,Moraxella_osloensis,34062,NZ_CP024443.1
SRR15115266.10441431,Moraxella_osloensis,34062,NZ_CP024443.1
SRR15115266.10450800,Cutibacterium_acnes,1747,NZ_CP013693.1
SRR15115266.10450800,Cutibacterium_acnes,1747,NZ_CP013693.1
SRR15115266.10450800,Cutibacterium_acnes,1747,NZ_CP013693.1
SRR15115266.10450800,Cutibacterium_acnes,1747,NZ_CP013693.1
SRR15115266.10471312,Acidovorax_sp._16-35-5,2743470,NZ_CP054840.1
SRR15115266.10471312,Acidovorax_sp._16-35-5,2743470,NZ_CP054840.1
SRR15115266.10471312,Acidovorax_sp._16-35-5,2743470,NZ_CP054840.1
SRR15115266.10471312,Acidovorax_sp._16-35-5,2743470,NZ_CP054840.1
SRR15115266.10471313,Acidovorax_sp._16-35-5,2743470,NZ_CP054840.1
SRR15115266.10471313,Acidovorax_sp._16-35-5,2743470,NZ_CP054840.1
SRR15115266.10478147,Moraxella_osloensis,34062,NZ_CP024185.2
SRR15115266.10478147,Moraxella_osloensis,34062,NZ_CP024185.2
SRR15115266.10490235,Moraxella_osloensis,34062,NZ_CP024185.2
SRR15115266.10490235,Moraxella_osloensis,34062,NZ_CP024185.2
SRR15115266.10490235,Moraxella_osloensis,34062,NZ_CP024185.2
SRR15115266.10490235,Moraxella_osloensis,34062,NZ_CP024185.2
SRR15115266.10490978,Moraxella_osloensis,34062,NZ_AP017381.1
SRR15115266.10490978,Moraxella_osloensis,34062,NZ_AP017381.1
SRR15115266.10490978,Moraxella_osloensis,34062,NZ_AP017381.1
SRR15115266.10490978,Moraxella_osloensis,34062,NZ_AP017381.1
SRR15115266.10516610,Moraxella_osloensis,34062,NZ_CP040257.1
SRR15115266.10516610,Moraxella_osloensis,34062,NZ_CP040257.1
SRR15115266.10516610,Moraxella_osloensis,34062,NZ_CP040257.1
SRR15115266.10516610,Moraxella_osloensis,34062,NZ_CP040257.1
SRR15115266.10519485,Hydrogenophaga_sp._NH-16,2184519,NZ_CP029344.1
SRR15115266.10519485,Hydrogenophaga_sp._NH-16,2184519,NZ_CP029344.1
SRR15115266.10521184,Hydrogenophaga_sp._NH-16,2184519,NZ_CP029344.1
SRR15115266.10521184,Hydrogenophaga_sp._NH-16,2184519,NZ_CP029344.1
SRR15115266.10531618,Methylomonas_clara,417,NZ_CP033953.1
SRR15115266.10531618,Methylomonas_clara,417,NZ_CP033953.1
SRR15115266.10531618,Methylomonas_clara,417,NZ_CP033953.1
SRR15115266.10531618,Methylomonas_clara,417,NZ_CP033953.1
SRR15115266.10542749,Acinetobacter_baumannii,470,NZ_CP050529.1
SRR15115266.10546334,Ralstonia_insidiosa,190721,NZ_CP016023.1
SRR15115266.10546334,Ralstonia_insidiosa,190721,NZ_CP016023.1
SRR15115266.10555253,Micrococcus_luteus,1270,NZ_CP040019.1
SRR15115266.10555253,Micrococcus_luteus,1270,NZ_CP040019.1
SRR15115266.10558473,Aquabacterium_olei,1296669,NZ_CP029210.1
SRR15115266.10558473,Aquabacterium_olei,1296669,NZ_CP029210.1
SRR15115266.10558474,Aquabacterium_olei,1296669,NZ_CP029210.1
SRR15115266.10558474,Aquabacterium_olei,1296669,NZ_CP029210.1
SRR15115266.10559297,Sphingomonas_sp._LK11,1390395,NZ_CP013916.1
SRR15115266.10559297,Sphingomonas_sp._LK11,1390395,NZ_CP013916.1
SRR15115266.10559297,Sphingomonas_sp._LK11,1390395,NZ_CP013916.1
SRR15115266.10559297,Sphingomonas_sp._LK11,1390395,NZ_CP013916.1
SRR15115266.10559300,Sphingomonas_sp._LK11,1390395,NZ_CP013916.1
SRR15115266.10559300,Sphingomonas_sp._LK11,1390395,NZ_CP013916.1
SRR15115266.10560903,Moraxella_osloensis,34062,NZ_CP024443.1
SRR15115266.10560903,Moraxella_osloensis,34062,NZ_CP024443.1
SRR15115266.10560903,Moraxella_osloensis,34062,NZ_CP024443.1
SRR15115266.10560903,Moraxella_osloensis,34062,NZ_CP024443.1
SRR15115266.10561080,Moraxella_osloensis,34062,NZ_CP024443.1
SRR15115266.10561080,Moraxella_osloensis,34062,NZ_CP024443.1
SRR15115266.10561080,Moraxella_osloensis,34062,NZ_CP024443.1
SRR15115266.10561080,Moraxella_osloensis,34062,NZ_CP024443.1
SRR15115266.10566234,Brevundimonas_diminuta,293,NZ_CP021995.1
SRR15115266.10566234,Brevundimonas_diminuta,293,NZ_CP021995.1
SRR15115266.10566234,Brevundimonas_diminuta,293,NZ_CP021995.1
SRR15115266.10566234,Brevundimonas_diminuta,293,NZ_CP021995.1
SRR15115266.10566882,Aquabacterium_olei,1296669,NZ_CP029210.1
SRR15115266.10566882,Aquabacterium_olei,1296669,NZ_CP029210.1
