ID,Species,Taxid,RefID
SRR15115263.10006842,Sphingomonas_melonis,152682,NZ_CP023705.1
SRR15115263.10006842,Sphingomonas_melonis,152682,NZ_CP023705.1
SRR15115263.10013015,Delftia_tsuruhatensis,180282,NZ_CP017420.1
SRR15115263.10013015,Delftia_tsuruhatensis,180282,NZ_CP017420.1
SRR15115263.10014215,Methyloversatilis_sp._RAC08,1842540,NZ_CP016448.1
SRR15115263.10014215,Methyloversatilis_sp._RAC08,1842540,NZ_CP016448.1
SRR15115263.10018755,Ralstonia_insidiosa,190721,NZ_CP016022.1
SRR15115263.10018755,Ralstonia_insidiosa,190721,NZ_CP016022.1
SRR15115263.10018755,Ralstonia_insidiosa,190721,NZ_CP016022.1
SRR15115263.10018755,Ralstonia_insidiosa,190721,NZ_CP016022.1
SRR15115263.1005333,Bradyrhizobium_guangzhouense,1325095,NZ_CP030053.1
SRR15115263.1005333,Bradyrhizobium_guangzhouense,1325095,NZ_CP030053.1
SRR15115263.1005333,Bradyrhizobium_guangzhouense,1325095,NZ_CP030053.1
SRR15115263.1005333,Bradyrhizobium_guangzhouense,1325095,NZ_CP030053.1
SRR15115263.10054235,Stenotrophomonas_maltophilia,40324,NZ_CP025298.1
SRR15115263.10054235,Stenotrophomonas_maltophilia,40324,NZ_CP025298.1
SRR15115263.1005426,Moraxella_osloensis,34062,NZ_CP047226.1
SRR15115263.1005426,Moraxella_osloensis,34062,NZ_CP047226.1
SRR15115263.10075227,Ralstonia_insidiosa,190721,NZ_CP012605.1
SRR15115263.10075227,Ralstonia_insidiosa,190721,NZ_CP012605.1
SRR15115263.10150817,Sphingomonas_sp._LK11,1390395,NZ_CP013916.1
SRR15115263.10150817,Sphingomonas_sp._LK11,1390395,NZ_CP013916.1
SRR15115263.1017311,Delftia_tsuruhatensis,180282,NZ_CP045291.1
SRR15115263.1017311,Delftia_tsuruhatensis,180282,NZ_CP045291.1
SRR15115263.1017311,Delftia_tsuruhatensis,180282,NZ_CP045291.1
SRR15115263.1017311,Delftia_tsuruhatensis,180282,NZ_CP045291.1
SRR15115263.10223210,Aquabacterium_olei,1296669,NZ_CP029210.1
SRR15115263.10246519,Pseudomonas_putida,303,NZ_CP018743.1
SRR15115263.10262035,Bradyrhizobium_sp._BTAi1,288000,NC_009485.1
SRR15115263.10262035,Bradyrhizobium_sp._BTAi1,288000,NC_009485.1
SRR15115263.10305408,Bacillus_megaterium,1404,NZ_CP031776.1
SRR15115263.10305408,Bacillus_megaterium,1404,NZ_CP031776.1
SRR15115263.10307400,Ralstonia_insidiosa,190721,NZ_CP016022.1
SRR15115263.10307400,Ralstonia_insidiosa,190721,NZ_CP016022.1
SRR15115263.10307400,Ralstonia_insidiosa,190721,NZ_CP016022.1
SRR15115263.10307400,Ralstonia_insidiosa,190721,NZ_CP016022.1
SRR15115263.10313019,Mycolicibacterium_phocaicum,319706,NZ_AP022616.1
SRR15115263.10313019,Mycolicibacterium_phocaicum,319706,NZ_AP022616.1
SRR15115263.10313019,Mycolicibacterium_phocaicum,319706,NZ_AP022616.1
SRR15115263.10313019,Mycolicibacterium_phocaicum,319706,NZ_AP022616.1
SRR15115263.10327797,Sphingomonas_melonis,152682,NZ_CP023705.1
SRR15115263.10327797,Sphingomonas_melonis,152682,NZ_CP023705.1
SRR15115263.10327797,Sphingomonas_melonis,152682,NZ_CP023705.1
SRR15115263.10327797,Sphingomonas_melonis,152682,NZ_CP023705.1
SRR15115263.10355168,Delftia_tsuruhatensis,180282,NZ_CP017420.1
SRR15115263.10355168,Delftia_tsuruhatensis,180282,NZ_CP017420.1
SRR15115263.10355168,Delftia_tsuruhatensis,180282,NZ_CP017420.1
SRR15115263.10355168,Delftia_tsuruhatensis,180282,NZ_CP017420.1
SRR15115263.10417510,Aquabacterium_olei,1296669,NZ_CP029210.1
SRR15115263.10426811,Sphingomonas_melonis,152682,NZ_CP023705.1
SRR15115263.10426811,Sphingomonas_melonis,152682,NZ_CP023705.1
SRR15115263.10426811,Sphingomonas_melonis,152682,NZ_CP023705.1
SRR15115263.10426811,Sphingomonas_melonis,152682,NZ_CP023705.1
SRR15115263.10477561,Cutibacterium_acnes,1747,NZ_CP012350.1
SRR15115263.10477561,Cutibacterium_acnes,1747,NZ_CP012350.1
SRR15115263.10495252,Ralstonia_insidiosa,190721,NZ_CP016023.1
SRR15115263.10495252,Ralstonia_insidiosa,190721,NZ_CP016023.1
SRR15115263.10495252,Ralstonia_insidiosa,190721,NZ_CP016023.1
SRR15115263.10495252,Ralstonia_insidiosa,190721,NZ_CP016023.1
SRR15115263.10520325,Bradyrhizobium_guangzhouense,1325095,NZ_CP030053.1
SRR15115263.10520325,Bradyrhizobium_guangzhouense,1325095,NZ_CP030053.1
SRR15115263.10523376,Staphylococcus_haemolyticus,1283,NZ_CP024809.1
