ID,Species,Taxid,RefID
SRR15115262.10017186,Cutibacterium_acnes,1747,NZ_CP012354.1
SRR15115262.10017186,Cutibacterium_acnes,1747,NZ_CP012354.1
SRR15115262.10031444,Janibacter_melonis,262209,NZ_CP044548.2
SRR15115262.10031444,Janibacter_melonis,262209,NZ_CP044548.2
SRR15115262.10150803,Acinetobacter_johnsonii,40214,NZ_CP022298.1
SRR15115262.10150803,Acinetobacter_johnsonii,40214,NZ_CP022298.1
SRR15115262.10163139,Moraxella_osloensis,34062,NZ_CP040257.1
SRR15115262.10163139,Moraxella_osloensis,34062,NZ_CP040257.1
SRR15115262.10171583,Acinetobacter_johnsonii,40214,NZ_CP037424.1
SRR15115262.10171583,Acinetobacter_johnsonii,40214,NZ_CP037424.1
SRR15115262.10198077,Acinetobacter_johnsonii,40214,NZ_CP022298.1
SRR15115262.10198077,Acinetobacter_johnsonii,40214,NZ_CP022298.1
SRR15115262.10239101,Acinetobacter_johnsonii,40214,NZ_CP022298.1
SRR15115262.1024234,Acinetobacter_johnsonii,40214,NZ_CP037424.1
SRR15115262.1024234,Acinetobacter_johnsonii,40214,NZ_CP037424.1
SRR15115262.10245817,Sphingomonas_melonis,152682,NZ_CP023705.1
SRR15115262.10245817,Sphingomonas_melonis,152682,NZ_CP023705.1
SRR15115262.10245817,Sphingomonas_melonis,152682,NZ_CP023705.1
SRR15115262.10245817,Sphingomonas_melonis,152682,NZ_CP023705.1
SRR15115262.10275740,Acinetobacter_baumannii,470,NZ_CP028138.1
SRR15115262.10338593,Janibacter_melonis,262209,NZ_CP044548.2
SRR15115262.10338593,Janibacter_melonis,262209,NZ_CP044548.2
SRR15115262.10357021,Janibacter_melonis,262209,NZ_CP044548.2
SRR15115262.10366842,Sphingomonas_melonis,152682,NZ_CP023705.1
SRR15115262.10366842,Sphingomonas_melonis,152682,NZ_CP023705.1
SRR15115262.10366842,Sphingomonas_melonis,152682,NZ_CP023705.1
SRR15115262.10366842,Sphingomonas_melonis,152682,NZ_CP023705.1
SRR15115262.10455254,Sphingobium_hydrophobicum,1673076,NZ_CP022745.1
SRR15115262.10455254,Sphingobium_hydrophobicum,1673076,NZ_CP022745.1
SRR15115262.10455254,Sphingobium_hydrophobicum,1673076,NZ_CP022745.1
SRR15115262.10455254,Sphingobium_hydrophobicum,1673076,NZ_CP022745.1
SRR15115262.10558823,Acinetobacter_johnsonii,40214,NZ_CP037424.1
SRR15115262.10558823,Acinetobacter_johnsonii,40214,NZ_CP037424.1
SRR15115262.10578459,Acinetobacter_johnsonii,40214,NZ_CP022298.1
SRR15115262.10578459,Acinetobacter_johnsonii,40214,NZ_CP022298.1
SRR15115262.10581911,Moraxella_osloensis,34062,NZ_CP024185.2
SRR15115262.10581911,Moraxella_osloensis,34062,NZ_CP024185.2
SRR15115262.10581911,Moraxella_osloensis,34062,NZ_CP024185.2
SRR15115262.10581911,Moraxella_osloensis,34062,NZ_CP024185.2
SRR15115262.10596738,Janibacter_melonis,262209,NZ_CP044548.2
SRR15115262.10596738,Janibacter_melonis,262209,NZ_CP044548.2
SRR15115262.10596738,Janibacter_melonis,262209,NZ_CP044548.2
SRR15115262.10596738,Janibacter_melonis,262209,NZ_CP044548.2
SRR15115262.10612473,Sphingobium_hydrophobicum,1673076,NZ_CP022745.1
SRR15115262.10612473,Sphingobium_hydrophobicum,1673076,NZ_CP022745.1
