ID,Species,Taxid,RefID
SRR15115264.19212904,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19212904,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19212904,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19212904,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19213126,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19213126,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19213126,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19213126,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19216479,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19217960,Halomonas_sp._JS92-SW72,2306583,NZ_CP032147.1
SRR15115264.19219415,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19219415,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19219415,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19219415,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19220730,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19220730,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19220730,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19220730,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19223830,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19223830,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19223830,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19223830,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19224226,Xanthomonas_vesicatoria,56460,NZ_CP018470.1
SRR15115264.19224226,Xanthomonas_vesicatoria,56460,NZ_CP018470.1
SRR15115264.19227628,Curtobacterium_sp._Csp2,2495430,NZ_CP054593.1
SRR15115264.19227744,Xanthomonas_vesicatoria,56460,NZ_CP018470.1
